parish_code,parish,population_total,population_0_14,population_15_24,population_25_64,working_age_population_15_64,population_65_plus
110601,Ajuda,14306,1796,1268,7323,8591,3919
110602,Alcântara,13850,1774,1235,7500,8735,3341
110654,Alvalade,33309,4639,3329,17104,20433,8237
110655,Areeiro,21160,2779,2217,11102,13319,5062
110656,Arroios,33302,3456,3135,20036,23171,6675
110657,Avenidas Novas,23261,3047,2480,12276,14756,5458
110607,Beato,12183,1351,1148,6542,7690,3142
110658,Belém,16546,2468,1729,7958,9687,4391
110608,Benfica,35362,4101,3193,17593,20786,10475
110659,Campo de Ourique,22140,3156,2055,11499,13554,5430
110610,Campolide,14787,1702,1413,8077,9490,3595
110611,Carnide,18028,2462,2008,9289,11297,4269
110660,Estrela,20267,3013,2107,10956,13063,4191
110618,Lumiar,46334,6790,5154,24701,29855,9689
110621,Marvila,35479,4698,3751,18489,22240,8541
110661,Misericórdia,9658,953,864,5608,6472,2233
110633,Olivais,32179,3865,3266,16494,19760,8554
110662,Parque das Nações,22382,3961,2701,12321,15022,3399
110663,Penha de França,28475,3076,2593,16222,18815,6584
110664,Santa Clara,23645,4462,2882,12430,15312,3871
110665,Santa Maria Maior,10051,875,853,6296,7149,2027
110666,Santo António,11060,1306,1063,6312,7375,2379
110639,São Domingos de Benfica,34076,4057,3463,17560,21023,8996
110667,São Vicente,13956,1433,1162,8051,9213,3310
