building_key,parish,listing_count,median_monthly_rent_eur,median_area_m2,median_rent_eur_m2_month,latitude,longitude,collection_date
Alvalade_38.7459_-9.1318,Alvalade,1,14688.0,816.0,18.0,38.7459316,-9.1318348,2026-07-30
Alvalade_38.7482_-9.1538,Alvalade,1,2150.0,110.0,19.55,38.7482427,-9.1538027,2026-07-30
Areeiro_38.7383_-9.1388,Areeiro,1,2500.0,110.0,22.73,38.7383475,-9.1387698,2026-07-30
Areeiro_38.7388_-9.1422,Areeiro,7,21346.0,928.0,20.99,38.7388383,-9.1422239,2026-07-30
Areeiro_38.7394_-9.1261,Areeiro,1,260.0,12.0,21.67,38.7393693,-9.1260644,2026-07-30
Areeiro_38.7403_-9.1293,Areeiro,1,890.0,51.0,17.45,38.7403256,-9.1292647,2026-07-30
Areeiro_38.7403_-9.1416,Areeiro,1,2350.0,79.0,29.75,38.7403018,-9.1415818,2026-07-30
Areeiro_38.7414_-9.123,Areeiro,1,550.0,70.0,7.86,38.7413865,-9.1229969,2026-07-30
Areeiro_38.7423_-9.142,Areeiro,1,3900.0,250.0,15.6,38.7422613,-9.1420297,2026-07-30
Areeiro_38.7425_-9.1276,Areeiro,1,3500.0,282.0,12.41,38.7424517,-9.1275716,2026-07-30
Areeiro_38.7444_-9.1401,Areeiro,1,1650.0,123.0,13.41,38.7444435,-9.1400872,2026-07-30
Areeiro_38.7447_-9.1331,Areeiro,1,14688.0,816.0,18.0,38.7447349,-9.1330639,2026-07-30
Arroios_38.7223_-9.1393,Arroios,1,121150.0,4846.0,25.0,38.7222524,-9.1393366,2026-07-30
Arroios_38.7228_-9.1342,Arroios,1,18000.0,838.0,21.48,38.7228233,-9.134194,2026-07-30
Arroios_38.7259_-9.1352,Arroios,3,6000.0,200.0,30.0,38.7259284,-9.1351933,2026-07-30
Arroios_38.7262_-9.1338,Arroios,1,3500.0,360.0,9.72,38.7262041,-9.1338093,2026-07-30
Arroios_38.726_-9.1362,Arroios,1,4600.0,325.0,14.15,38.7260237,-9.1361564,2026-07-30
Arroios_38.7278_-9.1433,Arroios,1,2800.0,170.0,16.47,38.7278464,-9.1433034,2026-07-30
Arroios_38.7301_-9.1469,Arroios,2,2500.0,65.0,41.665,38.7300879,-9.1468971,2026-07-30
Arroios_38.7309_-9.1459,Arroios,1,2500.0,190.0,13.16,38.7308782,-9.1459421,2026-07-30
Arroios_38.7313_-9.1432,Arroios,1,9250.0,749.0,12.35,38.7312658,-9.1432001,2026-07-30
Arroios_38.7313_-9.1433,Arroios,1,9000.0,749.0,12.02,38.7313085,-9.1432725,2026-07-30
Arroios_38.7325_-9.1422,Arroios,1,7560.0,432.0,17.5,38.7325075,-9.1422015,2026-07-30
Arroios_38.7329_-9.1447,Arroios,1,10864.0,388.0,28.0,38.7328549,-9.1447072,2026-07-30
Arroios_38.732_-9.1416,Arroios,1,137910.0,4597.0,30.0,38.732,-9.141619,2026-07-30
Arroios_38.732_-9.1432,Arroios,1,3045.0,174.0,17.5,38.73195,-9.1432051,2026-07-30
Arroios_38.7338_-9.1433,Arroios,2,1975.5,78.5,25.78,38.733766,-9.1432536,2026-07-30
Avenidas Novas_38.7278_-9.159,Avenidas Novas,1,5000.0,254.0,19.69,38.7277823,-9.1589729,2026-07-30
Avenidas Novas_38.7291_-9.1493,Avenidas Novas,1,1350.0,30.0,45.0,38.7291111,-9.1492623,2026-07-30
Avenidas Novas_38.7299_-9.1475,Avenidas Novas,1,1500.0,146.0,10.27,38.7299191,-9.1474825,2026-07-30
Avenidas Novas_38.7299_-9.1569,Avenidas Novas,1,5250.0,254.0,20.67,38.7298791,-9.1568985,2026-07-30
Avenidas Novas_38.7302_-9.1495,Avenidas Novas,1,4500.0,344.0,13.08,38.7302333,-9.14948,2026-07-30
Avenidas Novas_38.7303_-9.1472,Avenidas Novas,1,2500.0,140.0,17.86,38.7303206,-9.1471558,2026-07-30
Avenidas Novas_38.7307_-9.1502,Avenidas Novas,1,4500.0,239.0,18.83,38.7307361,-9.1501972,2026-07-30
Avenidas Novas_38.7309_-9.1472,Avenidas Novas,1,2850.0,146.0,19.52,38.7308568,-9.1472165,2026-07-30
Avenidas Novas_38.7313_-9.1469,Avenidas Novas,1,3600.0,177.0,20.34,38.7312553,-9.1469209,2026-07-30
Avenidas Novas_38.732_-9.1505,Avenidas Novas,1,21735.0,805.0,27.0,38.7320123,-9.1505231,2026-07-30
Avenidas Novas_38.7347_-9.1455,Avenidas Novas,1,19620.0,654.0,30.0,38.7347301,-9.1454724,2026-07-30
Avenidas Novas_38.7347_-9.1486,Avenidas Novas,1,1100.0,115.0,9.57,38.7346841,-9.1485686,2026-07-30
Avenidas Novas_38.7348_-9.1545,Avenidas Novas,1,8715.0,415.0,21.0,38.7347528,-9.1545311,2026-07-30
Avenidas Novas_38.7352_-9.1468,Avenidas Novas,1,19140.0,638.0,30.0,38.7352426,-9.1467527,2026-07-30
Avenidas Novas_38.7355_-9.1428,Avenidas Novas,1,12696.0,529.0,24.0,38.7354755,-9.142849,2026-07-30
Avenidas Novas_38.7361_-9.149,Avenidas Novas,1,4900.0,240.0,20.42,38.7360855,-9.1490313,2026-07-30
Avenidas Novas_38.7366_-9.1452,Avenidas Novas,1,27459.0,1017.0,27.0,38.7365797,-9.1451701,2026-07-30
Avenidas Novas_38.7369_-9.1458,Avenidas Novas,1,3900.0,203.0,19.21,38.7368679,-9.1458168,2026-07-30
Avenidas Novas_38.7373_-9.1476,Avenidas Novas,1,2900.0,125.0,23.2,38.7373062,-9.1476362,2026-07-30
Avenidas Novas_38.7387_-9.1435,Avenidas Novas,1,45600.0,2400.0,19.0,38.7386745,-9.1434941,2026-07-30
Avenidas Novas_38.7427_-9.1449,Avenidas Novas,1,1813.0,98.0,18.5,38.7426515,-9.1449022,2026-07-30
Avenidas Novas_38.7435_-9.1614,Avenidas Novas,1,2450.0,84.0,29.17,38.7435482,-9.1613813,2026-07-30
Beato_38.7386_-9.1229,Beato,1,2400.0,165.0,14.55,38.7386334,-9.1228748,2026-07-30
Campolide_38.7283_-9.1644,Campolide,8,673.0,60.0,12.785,38.7283136,-9.1644117,2026-07-30
Campolide_38.7357_-9.1647,Campolide,1,8379.0,399.0,21.0,38.7357064,-9.1646871,2026-07-30
Campolide_38.7362_-9.167,Campolide,1,8740.0,380.0,23.0,38.7362457,-9.1670418,2026-07-30
Campolide_38.7367_-9.1614,Campolide,1,19725.0,1315.0,15.0,38.7367169,-9.1614138,2026-07-30
Campolide_38.7374_-9.1634,Campolide,1,3869.0,204.0,18.97,38.7373741,-9.163383,2026-07-30
Campolide_38.7375_-9.1634,Campolide,1,14532.0,692.0,21.0,38.7374844,-9.1634139,2026-07-30
Campolide_38.737_-9.1637,Campolide,2,15160.0,758.0,20.0,38.7369654,-9.1637005,2026-07-30
Campolide_38.737_-9.1638,Campolide,1,7586.0,379.0,20.02,38.7369859,-9.1637588,2026-07-30
Campolide_38.7381_-9.1612,Campolide,1,2850.0,181.0,15.75,38.7380677,-9.1611878,2026-07-30
Campolide_38.738_-9.1655,Campolide,1,10074.0,438.0,23.0,38.7380342,-9.1655494,2026-07-30
Carnide_38.7602_-9.1799,Carnide,1,5250.0,310.0,16.94,38.7602033,-9.1798839,2026-07-30
Carnide_38.7606_-9.1803,Carnide,1,2600.0,163.0,15.95,38.7606257,-9.1802733,2026-07-30
Carnide_38.7615_-9.1778,Carnide,1,1800.0,78.0,23.08,38.7615179,-9.1778483,2026-07-30
Carnide_38.7624_-9.1796,Carnide,2,450.0,20.0,22.5,38.7623889,-9.1795628,2026-07-30
Carnide_38.7638_-9.1797,Carnide,1,1500.0,64.0,23.44,38.7638266,-9.1797337,2026-07-30
Carnide_38.7639_-9.1775,Carnide,1,3200.0,150.0,21.33,38.7638837,-9.1775443,2026-07-30
Carnide_38.764_-9.1771,Carnide,1,2100.0,120.0,17.5,38.7640387,-9.1771484,2026-07-30
Carnide_38.7656_-9.1787,Carnide,1,1250.0,62.0,20.16,38.7656396,-9.1786588,2026-07-30
Carnide_38.7659_-9.1787,Carnide,1,950.0,82.0,11.59,38.7658681,-9.1786581,2026-07-30
Carnide_38.7664_-9.1804,Carnide,1,950.0,82.0,11.59,38.7664157,-9.1803919,2026-07-30
Carnide_38.7696_-9.1859,Carnide,1,1300.0,81.0,16.05,38.7696376,-9.1859075,2026-07-30
Lumiar_38.7584_-9.1672,Lumiar,1,870.0,38.0,22.89,38.7583849,-9.1672168,2026-07-30
Lumiar_38.7615_-9.1709,Lumiar,1,2500.0,102.0,24.51,38.7614886,-9.170861,2026-07-30
Lumiar_38.7623_-9.1545,Lumiar,1,4400.0,330.0,13.33,38.7623438,-9.1545481,2026-07-30
Lumiar_38.7623_-9.1576,Lumiar,1,8671.0,377.0,23.0,38.7623472,-9.1575955,2026-07-30
Lumiar_38.7625_-9.1529,Lumiar,1,30618.0,2187.0,14.0,38.7625463,-9.152854,2026-07-30
Lumiar_38.7626_-9.1616,Lumiar,1,10054.0,457.0,22.0,38.7626388,-9.1616265,2026-07-30
Lumiar_38.762_-9.1533,Lumiar,1,4455.0,330.0,13.5,38.7620092,-9.1533159,2026-07-30
Lumiar_38.7635_-9.1537,Lumiar,1,41636.0,2974.0,14.0,38.763518,-9.1536951,2026-07-30
Lumiar_38.7636_-9.1521,Lumiar,4,1200.0,52.5,23.095,38.7635625,-9.1520969,2026-07-30
Lumiar_38.7646_-9.1744,Lumiar,1,1353.0,77.0,17.57,38.7646048,-9.174379,2026-07-30
Lumiar_38.7654_-9.1527,Lumiar,1,110.0,18.0,6.11,38.7653618,-9.1527475,2026-07-30
Lumiar_38.7676_-9.1635,Lumiar,1,90.0,10.0,9.0,38.7676055,-9.163517,2026-07-30
Lumiar_38.7677_-9.1545,Lumiar,1,2000.0,133.0,15.04,38.7676863,-9.1545496,2026-07-30
Lumiar_38.7682_-9.1572,Lumiar,1,600.0,38.0,15.79,38.7682285,-9.1571692,2026-07-30
Lumiar_38.7684_-9.1543,Lumiar,1,3950.0,281.0,14.06,38.7683977,-9.1542511,2026-07-30
Lumiar_38.7691_-9.1547,Lumiar,1,2200.0,140.0,15.71,38.7690528,-9.1547015,2026-07-30
Lumiar_38.7771_-9.1517,Lumiar,1,4300.0,262.0,16.41,38.7770625,-9.1517283,2026-07-30
Misericórdia_38.7052_-9.1474,Misericórdia,1,1500.0,80.0,18.75,38.7051804,-9.1474276,2026-07-30
Misericórdia_38.7053_-9.1472,Misericórdia,1,1100.0,25.0,44.0,38.7053263,-9.147248,2026-07-30
Misericórdia_38.7061_-9.1428,Misericórdia,1,1900.0,72.0,26.39,38.7060508,-9.1427897,2026-07-30
Misericórdia_38.7062_-9.1503,Misericórdia,1,1300.0,50.0,26.0,38.7061735,-9.1502825,2026-07-30
Misericórdia_38.7066_-9.1427,Misericórdia,1,11790.0,621.0,18.99,38.7066326,-9.1426564,2026-07-30
Misericórdia_38.7066_-9.145,Misericórdia,1,3743.0,197.0,19.0,38.7066394,-9.1449751,2026-07-30
Misericórdia_38.7069_-9.1438,Misericórdia,1,11790.0,621.0,18.99,38.7069265,-9.1437957,2026-07-30
Misericórdia_38.7069_-9.1439,Misericórdia,3,4333.0,197.0,22.02,38.7069394,-9.14387,2026-07-30
Misericórdia_38.7071_-9.1464,Misericórdia,1,1300.0,48.0,27.08,38.7070768,-9.1463999,2026-07-30
Misericórdia_38.7074_-9.1461,Misericórdia,1,24706.0,1123.0,22.0,38.7073736,-9.1461477,2026-07-30
Misericórdia_38.7074_-9.1485,Misericórdia,1,4200.0,185.0,22.7,38.7074393,-9.1485423,2026-07-30
Misericórdia_38.7074_-9.1498,Misericórdia,1,4900.0,250.0,19.6,38.7073899,-9.1498175,2026-07-30
Misericórdia_38.7078_-9.1473,Misericórdia,1,1100.0,55.0,20.0,38.7077658,-9.1472637,2026-07-30
Misericórdia_38.7079_-9.1432,Misericórdia,1,4173.0,144.0,28.98,38.7079089,-9.1432393,2026-07-30
Misericórdia_38.7079_-9.1485,Misericórdia,1,3800.0,185.0,20.54,38.7078807,-9.1485078,2026-07-30
Misericórdia_38.7079_-9.1503,Misericórdia,1,2350.0,94.0,25.0,38.7079017,-9.1503286,2026-07-30
Misericórdia_38.7161_-9.15,Misericórdia,1,1300.0,64.0,20.31,38.7160509,-9.1500027,2026-07-30
Penha de França_38.7225_-9.1178,Penha de França,1,4500.0,440.0,10.23,38.7225053,-9.1178291,2026-07-30
Penha de França_38.7236_-9.1175,Penha de França,1,750.0,42.0,17.86,38.7235851,-9.1175453,2026-07-30
Penha de França_38.7268_-9.1242,Penha de França,1,350.0,150.0,2.33,38.7267981,-9.1241579,2026-07-30
Penha de França_38.726_-9.1269,Penha de França,1,2200.0,196.0,11.22,38.7260444,-9.1269229,2026-07-30
Penha de França_38.7271_-9.1303,Penha de França,2,210.0,13.0,17.5,38.727089,-9.1302769,2026-07-30
Penha de França_38.7275_-9.1288,Penha de França,1,1019.0,13.0,78.38,38.7275437,-9.1287582,2026-07-30
Penha de França_38.7277_-9.1268,Penha de França,1,2200.0,196.0,11.22,38.7277083,-9.1267541,2026-07-30
Penha de França_38.7281_-9.1256,Penha de França,1,1900.0,127.0,14.96,38.728082,-9.1256159,2026-07-30
Penha de França_38.7281_-9.126,Penha de França,1,450.0,25.0,18.0,38.7281286,-9.1259656,2026-07-30
Penha de França_38.7285_-9.1258,Penha de França,1,2500.0,233.0,10.73,38.7284869,-9.1258256,2026-07-30
Penha de França_38.7294_-9.1261,Penha de França,1,1900.0,127.0,14.96,38.7293513,-9.1261406,2026-07-30
Penha de França_38.7305_-9.1282,Penha de França,1,6500.0,673.0,9.66,38.7304667,-9.1282223,2026-07-30
Penha de França_38.7307_-9.1284,Penha de França,1,9500.0,650.0,14.62,38.7307048,-9.1283637,2026-07-30
Penha de França_38.7308_-9.1299,Penha de França,1,6500.0,650.0,10.0,38.7307807,-9.1298518,2026-07-30
Penha de França_38.7321_-9.132,Penha de França,1,3200.0,230.0,13.91,38.7321221,-9.1320031,2026-07-30
Santa Maria Maior_38.7065_-9.141,Santa Maria Maior,1,1900.0,60.0,31.67,38.7064603,-9.140951,2026-07-30
Santo António_38.7196_-9.1443,Santo António,1,8500.0,332.0,25.6,38.7195672,-9.1442982,2026-07-30
Santo António_38.719_-9.1438,Santo António,1,219.0,50.0,4.38,38.7189705,-9.143756,2026-07-30
Santo António_38.7219_-9.1464,Santo António,1,8500.0,225.0,37.78,38.7219447,-9.146447,2026-07-30
Santo António_38.7221_-9.1532,Santo António,1,1400.0,62.0,22.58,38.7220678,-9.1532299,2026-07-30
Santo António_38.722_-9.1465,Santo António,1,9000.0,287.0,31.36,38.7220308,-9.1465141,2026-07-30
Santo António_38.7232_-9.1506,Santo António,7,1789.0,60.0,27.32,38.723154,-9.1505616,2026-07-30
Santo António_38.7234_-9.1505,Santo António,1,5000.0,215.0,23.26,38.7234354,-9.1505085,2026-07-30
Santo António_38.7235_-9.1492,Santo António,1,3432.0,143.0,24.0,38.7235209,-9.149203,2026-07-30
Santo António_38.723_-9.1472,Santo António,1,8929.0,319.0,27.99,38.7229678,-9.1472066,2026-07-30
Santo António_38.7243_-9.1591,Santo António,2,2131.5,102.0,22.805,38.724257,-9.1591484,2026-07-30
Santo António_38.7259_-9.1491,Santo António,1,719.0,50.0,14.38,38.7259349,-9.1491178,2026-07-30
Santo António_38.7268_-9.1456,Santo António,1,12584.0,484.0,26.0,38.7268491,-9.1455814,2026-07-30
Santo António_38.7281_-9.1467,Santo António,1,4342.0,167.0,26.0,38.7281436,-9.1466688,2026-07-30
São Domingos de Benfica_38.7394_-9.1639,São Domingos de Benfica,1,3920.0,196.0,20.0,38.7393915,-9.1639071,2026-07-30
São Domingos de Benfica_38.7395_-9.1664,São Domingos de Benfica,1,1150.0,63.0,18.25,38.7394746,-9.1664026,2026-07-30
São Domingos de Benfica_38.7395_-9.1666,São Domingos de Benfica,1,6000.0,329.0,18.24,38.7395488,-9.1665741,2026-07-30
São Domingos de Benfica_38.7463_-9.1631,São Domingos de Benfica,1,16940.0,847.0,20.0,38.7463361,-9.163094,2026-07-30
São Domingos de Benfica_38.7475_-9.1697,São Domingos de Benfica,3,3490.0,217.0,16.07,38.747513,-9.1697401,2026-07-30
São Domingos de Benfica_38.7519_-9.1711,São Domingos de Benfica,1,1800.0,90.0,20.0,38.7519461,-9.1711153,2026-07-30
São Domingos de Benfica_38.7546_-9.1814,São Domingos de Benfica,1,30426.0,1844.0,16.5,38.7546494,-9.1813829,2026-07-30
São Domingos de Benfica_38.7554_-9.1699,São Domingos de Benfica,1,15878.0,934.0,17.0,38.7553952,-9.1698848,2026-07-30
São Domingos de Benfica_38.7557_-9.1726,São Domingos de Benfica,1,7705.0,467.0,16.5,38.7557242,-9.1725704,2026-07-30
São Domingos de Benfica_38.7561_-9.1726,São Domingos de Benfica,1,15411.0,934.0,16.5,38.7560743,-9.1726483,2026-07-30
São Domingos de Benfica_38.7565_-9.1723,São Domingos de Benfica,1,7939.0,467.0,17.0,38.7564734,-9.1722689,2026-07-30
São Domingos de Benfica_38.756_-9.1717,São Domingos de Benfica,1,15878.0,935.0,16.98,38.7559548,-9.1716866,2026-07-30
São Domingos de Benfica_38.756_-9.1727,São Domingos de Benfica,1,878.0,60.0,14.63,38.7559965,-9.1727267,2026-07-30
São Domingos de Benfica_38.7572_-9.1748,São Domingos de Benfica,5,748.0,60.0,12.47,38.7571523,-9.174763,2026-07-30
