listing_id,source_name,source_url,collection_date,requested_parish,address_or_area_text,property_type,property_subtype,monthly_rent_eur,area_m2,source_rent_eur_m2_month,latitude,longitude,listing_status,parish,parish_assignment_method,requested_parish_match,calculated_rent_eur_m2_month,rent_value_difference,valid_for_analysis,building_key,duplicate_key,verification_note
idealista_34644118,idealista,https://www.idealista.pt/en/imovel/34644118/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Areeiro,"Office in Rua Dona Filipa de Vilhena, Arco do Cego, Areeiro",office,,45600,2400,19,38.7386745,-9.1434941,good,Avenidas Novas,coordinate_within_official_boundary,False,19.0,0.0,True,Avenidas Novas_38.7387_-9.1435,Avenidas Novas_38.7387_-9.1435_2400_45600,Spatially assigned parish differs from the search parish.
idealista_34270242,idealista,https://www.idealista.pt/en/imovel/34270242/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Areeiro,"Office in Casal Vistoso, Areeiro",office,,3500,282,12,38.7424517,-9.1275716,good,Areeiro,coordinate_within_official_boundary,True,12.41,0.41000000000000014,True,Areeiro_38.7425_-9.1276,Areeiro_38.7425_-9.1276_282_3500,Passed automated coordinate and value checks.
idealista_34647554,idealista,https://www.idealista.pt/en/imovel/34647554/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Areeiro,"Office in Avenida Almirante Gago Coutinho, Casal Vistoso, Areeiro",office,,14688,816,18,38.7459316,-9.1318348,good,Alvalade,coordinate_within_official_boundary,False,18.0,0.0,True,Alvalade_38.7459_-9.1318,Alvalade_38.7459_-9.1318_816_14688,Spatially assigned parish differs from the search parish.
idealista_35018928,idealista,https://www.idealista.pt/en/imovel/35018928/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Areeiro,"Private office in Rua Dona Filipa de Vilhena, 38, Arco do Cego, Areeiro",office,privateOffice,14494,762,19,38.7388383,-9.1422239,good,Areeiro,coordinate_within_official_boundary,True,19.02,0.019999999999999574,True,Areeiro_38.7388_-9.1422,Areeiro_38.7388_-9.1422_762_14494,Passed automated coordinate and value checks.
idealista_35135658,idealista,https://www.idealista.pt/en/imovel/35135658/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Areeiro,"Office in Rua Dona Filipa de Vilhena, 38, Arco do Cego, Areeiro",office,,2290,115,20,38.7388383,-9.1422239,good,Areeiro,coordinate_within_official_boundary,True,19.91,0.08999999999999986,True,Areeiro_38.7388_-9.1422,Areeiro_38.7388_-9.1422_115_2290,Passed automated coordinate and value checks.
idealista_35135626,idealista,https://www.idealista.pt/en/imovel/35135626/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Areeiro,"Office in Rua Dona Filipa de Vilhena, 38, Arco do Cego, Areeiro",office,,18071,861,21,38.7388383,-9.1422239,good,Areeiro,coordinate_within_official_boundary,True,20.99,0.010000000000001563,True,Areeiro_38.7388_-9.1422,Areeiro_38.7388_-9.1422_861_18071,Passed automated coordinate and value checks.
idealista_35135625,idealista,https://www.idealista.pt/en/imovel/35135625/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Areeiro,"Office in Rua Dona Filipa de Vilhena, 38, Arco do Cego, Areeiro",office,,21765,946,23,38.7388383,-9.1422239,good,Areeiro,coordinate_within_official_boundary,True,23.01,0.010000000000001563,True,Areeiro_38.7388_-9.1422,Areeiro_38.7388_-9.1422_946_21765,Passed automated coordinate and value checks.
idealista_35135670,idealista,https://www.idealista.pt/en/imovel/35135670/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Areeiro,"Office in Rua Dona Filipa de Vilhena, 38, Arco do Cego, Areeiro",office,,62678,2849,22,38.7388383,-9.1422239,good,Areeiro,coordinate_within_official_boundary,True,22.0,0.0,True,Areeiro_38.7388_-9.1422,Areeiro_38.7388_-9.1422_2849_62678,Passed automated coordinate and value checks.
idealista_35135669,idealista,https://www.idealista.pt/en/imovel/35135669/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Areeiro,"Office in Rua Dona Filipa de Vilhena, 38, Arco do Cego, Areeiro",office,,21346,928,23,38.7388383,-9.1422239,good,Areeiro,coordinate_within_official_boundary,True,23.0,0.0,True,Areeiro_38.7388_-9.1422,Areeiro_38.7388_-9.1422_928_21346,Passed automated coordinate and value checks.
idealista_34854531,idealista,https://www.idealista.pt/en/imovel/34854531/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Areeiro,"Private office in Rua Dona Filipa de Vilhena, 38, Arco do Cego, Areeiro",office,privateOffice,27607,1453,19,38.7388383,-9.1422239,good,Areeiro,coordinate_within_official_boundary,True,19.0,0.0,True,Areeiro_38.7388_-9.1422,Areeiro_38.7388_-9.1422_1453_27607,Passed automated coordinate and value checks.
idealista_34185135,idealista,https://www.idealista.pt/en/imovel/34185135/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Areeiro,"Private office in Rua Oliveira Martins, 39, Av. de Roma - Campo Pequeno, Areeiro",office,privateOffice,1650,123,13,38.7444435,-9.1400872,good,Areeiro,coordinate_within_official_boundary,True,13.41,0.41000000000000014,True,Areeiro_38.7444_-9.1401,Areeiro_38.7444_-9.1401_123_1650,Passed automated coordinate and value checks.
idealista_34904853,idealista,https://www.idealista.pt/en/imovel/34904853/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Areeiro,"Private office in Campo Pequeno, Av. de Roma - Campo Pequeno, Areeiro",office,privateOffice,1813,98,19,38.7426515,-9.1449022,good,Avenidas Novas,coordinate_within_official_boundary,False,18.5,0.5,True,Avenidas Novas_38.7427_-9.1449,Avenidas Novas_38.7427_-9.1449_98_1813,Spatially assigned parish differs from the search parish.
idealista_35150081,idealista,https://www.idealista.pt/en/imovel/35150081/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Areeiro,"Private office in Avenida Rovisco Pais, Arco do Cego, Areeiro",office,privateOffice,2500,110,23,38.7383475,-9.1387698,good,Areeiro,coordinate_within_official_boundary,True,22.73,0.2699999999999996,True,Areeiro_38.7383_-9.1388,Areeiro_38.7383_-9.1388_110_2500,Passed automated coordinate and value checks.
idealista_34926904,idealista,https://www.idealista.pt/en/imovel/34926904/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Areeiro,"Private office in Avenida Almirante Gago Coutinho, Casal Vistoso, Areeiro",office,privateOffice,14688,816,18,38.7447349,-9.1330639,good,Areeiro,coordinate_within_official_boundary,True,18.0,0.0,True,Areeiro_38.7447_-9.1331,Areeiro_38.7447_-9.1331_816_14688,Passed automated coordinate and value checks.
idealista_35201073,idealista,https://www.idealista.pt/en/imovel/35201073/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Areeiro,"Office with shared spaces in Avenida Engenheiro Arantes e Oliveira, Olaias, Areeiro",office,sharedOffice,2400,165,15,38.7386334,-9.1228748,good,Beato,coordinate_within_official_boundary,False,14.55,0.4499999999999993,True,Beato_38.7386_-9.1229,Beato_38.7386_-9.1229_165_2400,Spatially assigned parish differs from the search parish.
idealista_35096393,idealista,https://www.idealista.pt/en/imovel/35096393/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Areeiro,"Private office in Rua Barão de Sabrosa, 316, Casal Vistoso, Areeiro",office,privateOffice,890,51,17,38.7403256,-9.1292647,good,Areeiro,coordinate_within_official_boundary,True,17.45,0.4499999999999993,True,Areeiro_38.7403_-9.1293,Areeiro_38.7403_-9.1293_51_890,Passed automated coordinate and value checks.
idealista_35129890,idealista,https://www.idealista.pt/en/imovel/35129890/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Areeiro,"Private office in Olaias, Areeiro",office,privateOffice,260,12,22,38.7393693,-9.1260644,good,Areeiro,coordinate_within_official_boundary,True,21.67,0.3299999999999983,True,Areeiro_38.7394_-9.1261,Areeiro_38.7394_-9.1261_12_260,Passed automated coordinate and value checks.
idealista_33284069,idealista,https://www.idealista.pt/en/imovel/33284069/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Areeiro,"Office in Avenida Engenheiro Arantes e Oliveira, Olaias, Areeiro",office,,550,70,8,38.7413865,-9.1229969,good,Areeiro,coordinate_within_official_boundary,True,7.86,0.13999999999999968,True,Areeiro_38.7414_-9.123,Areeiro_38.7414_-9.123_70_550,Passed automated coordinate and value checks.
