coworking_id,coworking_name,operator,address,latitude,longitude,parish,active_status,source_type,source_url,secondary_source_url,website,website_domain,collection_date,verification_status,matched_rule,osm_type,osm_id,duplicate_group,review_note,raw_tags
osm_node_10011209150,Scape Workspaces,,"Doca de Santo Amaro, Armazém 15, 1350-353 Lisboa",38.6995865,-9.1788825,Alcântara,active,OpenStreetMap,https://www.openstreetmap.org/node/10011209150,https://www.linkedin.com/company/scapeworkspaces,https://scapeworkspaces.pt,scapeworkspaces.pt,2026-07-24,verified_official_site,office=coworking,node,10011209150,,Official domain and current business profile corroborate coworking service and address; reviewed 2026-07-25.,"{""check_date"": ""2022-09-09"", ""name"": ""Scape"", ""office"": ""coworking""}"
web_026,Spaces Alcântara,Spaces,"Rua das Fontaínhas 82-86, 1300-257 Lisboa",38.705806,-9.175569,Alcântara,active,official_operator_website,https://www.spacesworks.com/en/pt/lisboa/sete-rios/coworking,,https://www.spacesworks.com/en/pt/lisboa/sete-rios/coworking,spacesworks.com,2026-07-24,verified_official_site,official_site_discovery,,,,Official operator location listing.,
osm_node_12709912384,AIhub by Unicorn Factory Lisboa,,"Rua João Saraiva 38, Lisboa",38.7565647,-9.1434403,Alvalade,active,OpenStreetMap,https://www.openstreetmap.org/node/12709912384,https://unicornfactorylisboa.com/hubs/,https://aihub.unicornfactorylisboa.com/,aihub.unicornfactorylisboa.com,2026-07-24,verified_official_site,office=coworking,node,12709912384,,Official Unicorn Factory AIhub page lists 30 coworking seats and this address; reviewed 2026-07-25.,"{""name"": ""AIhub"", ""office"": ""coworking"", ""wheelchair"": ""yes""}"
web_009,Heden Alvalade,Heden,"Rua do Centro Cultural 45, 1700-111 Lisboa",38.7562928,-9.1419905,Alvalade,active,official_operator_website,https://heden.co/about-heden-coworking/,,https://heden.co/about-heden-coworking/,heden.co,2026-07-24,verified_official_site,official_site_discovery,,,,Listed as a current Heden coworking location.,
web_003,Kübe Coworking,Kübe Coworking,"Rua do Centro Cultural 27A, 1700-106 Lisboa",38.7562928,-9.1419905,Alvalade,active,official_operator_website,https://kubecoworking.pt/pages/sobre-nos,,https://kubecoworking.pt/pages/sobre-nos,kubecoworking.pt,2026-07-24,verified_official_site,official_site_discovery,,,,Official Portuguese site lists coworking plans and current opening hours.,
osm_way_1420058911,Plaçes Cowork,,"Rua Flores de Lima 16, 1700-196 Lisboa",38.7483293,-9.1443925,Alvalade,active,OpenStreetMap,https://www.openstreetmap.org/way/1420058911,,https://www.placeswork.pt/pt/,placeswork.pt,2026-07-24,verified_official_site,office=coworking,way,1420058911,,Official site lists the Lisbon workspace and address; reviewed 2026-07-25.,"{""building"": ""office"", ""check_date"": ""2022-09-11"", ""name"": ""Places"", ""office"": ""coworking"", ""place"": ""plot""}"
osm_node_13282831857,Avila Spaces,,"Avenida da República 6, 1050-191, Lisboa",38.7348821,-9.1447434,Arroios,active,OpenStreetMap + official operator website,https://www.openstreetmap.org/node/13282831857,https://avilaspaces.com/pt/servicos/coworking-lisboa/,https://avilaspaces.com/pt/servicos/coworking-lisboa/,avilaspaces.com,2026-07-24,verified_official_site,office=coworking,node,13282831857,,Matched to official-site record within 0 m.,"{""addr:city"": ""Lisboa"", ""addr:housenumber"": ""6"", ""addr:postcode"": ""1050-191"", ""addr:street"": ""Avenida da República"", ""branch"": ""Avenida da República"", ""contact:email"": ""info@avilaspaces.com"", ""contact:phone"": ""+351 21 330 3723; +351 910 642 244"", ""name"": ""Avila Spaces"", ""office"": ""coworking"", ""website"": ""https://avilaspaces.com/""}"
osm_way_1374548121,Avila Spaces,,"Praça do Duque de Saldanha, 1050-094, Lisboa",38.7330015,-9.1449296,Arroios,active,OpenStreetMap + official operator website,https://www.openstreetmap.org/way/1374548121,https://avilaspaces.com/pt/servicos/coworking-lisboa/,https://avilaspaces.com/pt/servicos/coworking-lisboa/,avilaspaces.com,2026-07-24,verified_official_site,office=coworking,way,1374548121,,Matched to official-site record within 26 m.,"{""addr:city"": ""Lisboa"", ""addr:housename"": ""Edificio Atrium Saldanha"", ""addr:postcode"": ""1050-094"", ""addr:street"": ""Praça do Duque de Saldanha"", ""branch"": ""Atrium Saldanha"", ""contact:email"": ""info@avilaspaces.com"", ""contact:phone"": ""+351 21 330 3723; +351 910 642 244"", ""indoor"": ""room"", ""level"": ""2"", ""name"": ""Avila Spaces"", ""office"": ""coworking"", ""website"": ""https://avilaspaces.com/""}"
osm_node_13917926242,Cowork Rizoma,Rizoma Cooperativa Integral,"Rua José Estêvão 4B, 1150-202 Lisboa",38.7275817,-9.1373321,Arroios,active,OpenStreetMap,https://www.openstreetmap.org/node/13917926242,,https://www.rizomacoop.pt/en/sections/services-section/cowork/,rizomacoop.pt,2026-07-24,verified_official_site,office=coworking|name_keyword_cowork,node,13917926242,,Official cooperative cowork page and current contact page match the address; reviewed 2026-07-25.,"{""addr:city"": ""Lisboa"", ""addr:housenumber"": ""4B"", ""addr:postcode"": ""1150-202"", ""addr:street"": ""Rua José Estevão"", ""air_conditioning"": ""yes"", ""contact:housenumber"": ""4"", ""description"": ""self-organized and not profit oriented"", ""email"": ""cowork@rizomacoop.pt"", ""image"": ""https://www.rizomacoop.pt/wp-content/uploads/2026/05/rizoma121023_MC_08-1536x1024-1.jpg"", ""internet_access"": ""yes"", ""internet_access:fee"": ""no"", ""level"": ""1"", ""name"": ""CoWork @ Rizoma"", ""office"": ""coworking"", ""opening_hours"": ""Mo-Fr 10:00-18:30"", ""operator"": ""Rizoma Cooperativa Integral"", ""operator:type"": ""cooperative"", ""website"": ""https://www.rizomacoop.pt/en/sections/services-section/cowork/""}"
osm_node_4720152466,DEVAZUKA,,"Rua do Benformoso 227, 1100-085 Lisboa",38.7203147,-9.1349429,Arroios,closed,OpenStreetMap,https://www.openstreetmap.org/node/4720152466,,https://devazuka.com/,devazuka.com,2026-07-24,verified_closed_official_site,office=coworking,node,4720152466,,Official site explicitly says 'Permanently Closed'; reviewed 2026-07-25.,"{""addr:city"": ""Lisboa"", ""addr:housenumber"": ""227"", ""addr:postcode"": ""1100-085"", ""addr:street"": ""Rua do Benformoso"", ""contact:instagram"": ""@devazuka"", ""email"": ""hi@devazuka.com"", ""facebook"": ""https://www.facebook.com/devazuka"", ""internet_access"": ""yes"", ""name"": ""DEVAZUKA"", ""office"": ""coworking"", ""phone"": ""+351 963 695 361"", ""website"": ""https://devazuka.com""}"
