coworking_id,coworking_name,operator,address,parish,matched_rule,source_url,website,active_status,verification_status,duplicate_group,review_note
osm_node_10011209150,Scape Workspaces,,"Doca de Santo Amaro, Armazém 15, 1350-353 Lisboa",Alcântara,office=coworking,https://www.openstreetmap.org/node/10011209150,https://scapeworkspaces.pt,active,verified_official_site,,Official domain and current business profile corroborate coworking service and address; reviewed 2026-07-25.
web_026,Spaces Alcântara,Spaces,"Rua das Fontaínhas 82-86, 1300-257 Lisboa",Alcântara,official_site_discovery,https://www.spacesworks.com/en/pt/lisboa/sete-rios/coworking,https://www.spacesworks.com/en/pt/lisboa/sete-rios/coworking,active,verified_official_site,,Official operator location listing.
osm_node_12709912384,AIhub by Unicorn Factory Lisboa,,"Rua João Saraiva 38, Lisboa",Alvalade,office=coworking,https://www.openstreetmap.org/node/12709912384,https://aihub.unicornfactorylisboa.com/,active,verified_official_site,,Official Unicorn Factory AIhub page lists 30 coworking seats and this address; reviewed 2026-07-25.
web_009,Heden Alvalade,Heden,"Rua do Centro Cultural 45, 1700-111 Lisboa",Alvalade,official_site_discovery,https://heden.co/about-heden-coworking/,https://heden.co/about-heden-coworking/,active,verified_official_site,,Listed as a current Heden coworking location.
web_003,Kübe Coworking,Kübe Coworking,"Rua do Centro Cultural 27A, 1700-106 Lisboa",Alvalade,official_site_discovery,https://kubecoworking.pt/pages/sobre-nos,https://kubecoworking.pt/pages/sobre-nos,active,verified_official_site,,Official Portuguese site lists coworking plans and current opening hours.
osm_way_1420058911,Plaçes Cowork,,"Rua Flores de Lima 16, 1700-196 Lisboa",Alvalade,office=coworking,https://www.openstreetmap.org/way/1420058911,https://www.placeswork.pt/pt/,active,verified_official_site,,Official site lists the Lisbon workspace and address; reviewed 2026-07-25.
osm_node_13282831857,Avila Spaces,,"Avenida da República 6, 1050-191, Lisboa",Arroios,office=coworking,https://www.openstreetmap.org/node/13282831857,https://avilaspaces.com/pt/servicos/coworking-lisboa/,active,verified_official_site,,Matched to official-site record within 0 m.
osm_way_1374548121,Avila Spaces,,"Praça do Duque de Saldanha, 1050-094, Lisboa",Arroios,office=coworking,https://www.openstreetmap.org/way/1374548121,https://avilaspaces.com/pt/servicos/coworking-lisboa/,active,verified_official_site,,Matched to official-site record within 26 m.
osm_node_13917926242,Cowork Rizoma,Rizoma Cooperativa Integral,"Rua José Estêvão 4B, 1150-202 Lisboa",Arroios,office=coworking|name_keyword_cowork,https://www.openstreetmap.org/node/13917926242,https://www.rizomacoop.pt/en/sections/services-section/cowork/,active,verified_official_site,,Official cooperative cowork page and current contact page match the address; reviewed 2026-07-25.
osm_node_4720152466,DEVAZUKA,,"Rua do Benformoso 227, 1100-085 Lisboa",Arroios,office=coworking,https://www.openstreetmap.org/node/4720152466,https://devazuka.com/,closed,verified_closed_official_site,,Official site explicitly says 'Permanently Closed'; reviewed 2026-07-25.
osm_node_13529352806,Espaço Arroios,,"Rua Passos Manuel 99A, 1150-260 Lisboa",Arroios,office=coworking,https://www.openstreetmap.org/node/13529352806,https://www.instagram.com/espaco_arroios/,active,verified_official_site,,User confirmed recent official social activity; address corroborated; reviewed 2026-07-25.
web_010,Heden Intendente,Heden,"Rua Maria 10, 1170-014 Lisboa",Arroios,official_site_discovery,https://heden.co/about-heden-coworking/,https://heden.co/about-heden-coworking/,active,verified_official_site,,Listed as a current Heden coworking location.
osm_way_99628864,IDEA Spaces Saldanha,IDEA Spaces,"Avenida Defensores de Chaves 4, 1000-117 Lisboa",Arroios,amenity=coworking_space,https://www.openstreetmap.org/way/99628864,https://ideaspaces.pt/saldanha.html,active,verified_official_site,,"Official location page lists coworking, current contact details and address; reviewed 2026-07-25."
web_005,The Liz,The Liz,"Rua Maria 36A, 1170-217 Lisboa",Arroios,official_site_discovery,https://lisboncoworkingspace.com/anjos-arroios-lisboa/,https://lisboncoworkingspace.com/anjos-arroios-lisboa/,active,verified_official_site,,Official site currently accepts teams of 5-30 rather than individual desks.
osm_node_12709903316,Gaming Hub by Unicorn Factory Lisboa,,"Avenida da República 18, 4.º andar, Lisboa",Avenidas Novas,office=coworking,https://www.openstreetmap.org/node/12709903316,https://gaminghub.unicornfactorylisboa.com/,active,verified_official_site,,"Official Gaming Hub page lists coworking products, prices and address; reviewed 2026-07-25."
osm_node_12354242268,IDEA Spaces - São Sebastião,,,Avenidas Novas,office=coworking,https://www.openstreetmap.org/node/12354242268,https://www.ideaspaces.pt/saoSebastiao.html,active,verified_official_site,,Matched to official-site record within 178 m.
