parish_code,parish,area_km2,population_total,working_age_population_15_64,working_age_population_density_km2,coworking_count,coworking_per_10000_working_age,coworking_density_km2,office_count,office_density_km2,cafe_count,cafe_density_km2,hotel_count,hotel_density_km2,municipal_higher_education_count,municipal_higher_education_density_km2,municipal_metro_station_count,municipal_metro_station_density_km2,bus_tram_stop_count,bus_tram_stop_density_km2,demand_proxy_score,transit_access_score,population_reference_year,collection_date,competition_opportunity_score,median_rent_eur_m2_month,rent_sample_size,rent_coverage_flag,analysis_status
110601,Ajuda,2.8739,14306,8591,2989.318,2,2.328,0.696,10,3.48,41,14.266,1,0.348,3,1.044,0,0.0,85,29.577,37.92,33.75,2021,2026-07-25,26.09,,0,not_collected,provisional_partial_rent
110602,Alcântara,5.0697,13850,8735,1722.982,2,2.29,0.395,31,6.115,40,7.89,7,1.381,4,0.789,0,0.0,82,16.175,32.08,12.08,2021,2026-07-25,30.43,,0,not_collected,provisional_partial_rent
110654,Alvalade,5.3366,33309,20433,3828.842,7,3.426,1.312,63,11.805,58,10.868,5,0.937,12,2.249,3,0.562,153,28.67,60.0,65.83,2021,2026-07-25,17.39,,0,not_collected,provisional_partial_rent
110655,Areeiro,1.7173,21160,13319,7755.779,2,1.502,1.165,45,26.204,47,27.369,6,3.494,1,0.582,1,0.582,53,30.862,85.42,73.33,2021,2026-07-25,52.17,17.73,10,target_met,provisional_partial_rent
110656,Arroios,2.1259,33302,23171,10899.384,8,3.453,3.763,55,25.871,106,49.861,43,20.227,2,0.941,4,1.882,101,47.509,94.17,95.0,2021,2026-07-25,13.04,17.5,15,target_met,provisional_partial_rent
110657,Avenidas Novas,2.9916,23261,14756,4932.478,4,2.711,1.337,114,38.107,84,28.079,58,19.388,2,0.669,6,2.006,98,32.758,84.58,90.83,2021,2026-07-25,21.74,20.38,22,target_met,provisional_partial_rent
110607,Beato,2.4813,12183,7690,3099.182,1,1.3,0.403,13,5.239,13,5.239,1,0.403,0,0.0,1,0.403,56,22.569,33.33,40.0,2021,2026-07-25,60.87,,0,not_collected,provisional_partial_rent
110658,Belém,10.4158,16546,9687,930.029,1,1.032,0.096,75,7.201,45,4.32,5,0.48,1,0.096,0,0.0,121,11.617,24.17,10.42,2021,2026-07-25,73.91,,0,not_collected,provisional_partial_rent
110608,Benfica,8.0168,35362,20786,2592.805,1,0.481,0.125,40,4.99,27,3.368,0,0.0,3,0.374,1,0.125,146,18.212,21.66,24.17,2021,2026-07-25,91.3,,0,not_collected,provisional_partial_rent
110659,Campo de Ourique,1.6498,22140,13554,8215.541,3,2.213,1.818,41,24.851,39,23.639,4,2.425,1,0.606,0,0.0,67,40.611,83.33,47.08,2021,2026-07-25,34.78,,0,not_collected,provisional_partial_rent
110610,Campolide,2.7716,14787,9490,3424.015,2,2.107,0.722,51,18.401,29,10.463,8,2.886,2,0.722,1,0.361,88,31.751,63.34,55.0,2021,2026-07-25,39.13,20.01,10,target_met,provisional_partial_rent
110611,Carnide,3.6854,18028,11297,3065.339,1,0.885,0.271,30,8.14,19,5.155,0,0.0,1,0.271,2,0.543,84,22.793,38.75,53.33,2021,2026-07-25,82.61,17.5,11,target_met,provisional_partial_rent
110660,Estrela,4.5991,20267,13063,2840.338,2,1.531,0.435,84,18.264,53,11.524,14,3.044,1,0.217,0,0.0,141,30.658,49.17,35.42,2021,2026-07-25,47.83,,0,not_collected,provisional_partial_rent
110618,Lumiar,6.5681,46334,29855,4545.455,1,0.335,0.152,35,5.329,51,7.765,1,0.152,2,0.305,4,0.609,176,26.796,43.33,67.5,2021,2026-07-25,95.65,15.71,17,target_met,provisional_partial_rent
110621,Marvila,7.1156,35479,22240,3125.527,2,0.899,0.281,19,2.67,10,1.405,1,0.141,3,0.422,2,0.281,162,22.767,30.83,31.67,2021,2026-07-25,78.26,,0,not_collected,provisional_partial_rent
110661,Misericórdia,2.1899,9658,6472,2955.386,3,4.635,1.37,33,15.069,92,42.011,25,11.416,1,0.457,1,0.457,61,27.855,56.67,54.17,2021,2026-07-25,8.7,22.0,17,target_met,provisional_partial_rent
110633,Olivais,8.0801,32179,19760,2445.514,0,0.0,0.0,18,2.228,27,3.342,3,0.371,0,0.0,4,0.495,144,17.822,14.58,40.0,2021,2026-07-25,100.0,,0,not_collected,provisional_partial_rent
110662,Parque das Nações,5.4286,22382,15022,2767.196,3,1.997,0.553,130,23.947,52,9.579,11,2.026,1,0.184,2,0.368,116,21.368,46.67,35.83,2021,2026-07-25,43.48,,0,not_collected,provisional_partial_rent
110663,Penha de França,2.7081,28475,18815,6947.675,2,1.063,0.739,17,6.277,58,21.417,2,0.739,0,0.0,0,0.0,71,26.218,60.42,27.08,2021,2026-07-25,69.57,13.91,15,target_met,provisional_partial_rent
110664,Santa Clara,3.3522,23645,15312,4567.747,1,0.653,0.298,5,1.492,11,3.281,0,0.0,0,0.0,1,0.298,86,25.655,30.84,39.17,2021,2026-07-25,86.96,,0,not_collected,provisional_partial_rent
110665,Santa Maria Maior,3.0085,10051,7149,2376.267,6,8.393,1.994,40,13.296,126,41.881,80,26.591,2,0.665,5,1.662,98,32.574,47.92,84.17,2021,2026-07-25,4.35,,0,not_collected,provisional_partial_rent
110666,Santo António,1.4929,11060,7375,4940.05,9,12.203,6.029,157,105.164,51,34.162,86,57.606,1,0.67,3,2.01,53,35.501,89.58,96.67,2021,2026-07-25,0.0,25.6,13,target_met,provisional_partial_rent
110639,São Domingos de Benfica,4.2903,34076,21023,4900.124,3,1.427,0.699,60,13.985,46,10.722,2,0.466,8,1.865,3,0.699,101,23.541,67.08,65.0,2021,2026-07-25,56.52,16.99,14,target_met,provisional_partial_rent
110667,São Vicente,1.9839,13956,9213,4643.883,1,1.085,0.504,11,5.545,29,14.618,9,4.537,0,0.0,1,0.504,66,33.268,54.17,72.5,2021,2026-07-25,65.22,,0,not_collected,provisional_partial_rent
