parish_code,parish,area_km2,population_total,working_age_population_15_64,coworking_count,pending_coworking_count,coworking_per_10000_working_age,office_count,cafe_count,hotel_count,university_count,college_count,higher_education_count,municipal_higher_education_count,municipal_hotel_2015_count,major_transit_station_count,municipal_metro_station_count,bus_tram_stop_count,working_age_population_density_km2,coworking_density_km2,office_density_km2,cafe_density_km2,hotel_density_km2,higher_education_density_km2,municipal_higher_education_density_km2,major_transit_station_density_km2,municipal_metro_station_density_km2,bus_tram_stop_density_km2,transit_access_score,demand_proxy_score,median_rent_eur_m2_month,rent_sample_size,rent_coverage_flag,opportunity_score,poi_query_status,population_reference_year,collection_date,coworking_status_note
110601,Ajuda,2.8739,14306,8591,2,0,2.328,10,41,1,7,0,7,3,0,0,0,85,2989.318,0.696,3.48,14.266,0.348,2.436,1.044,0.0,0.0,29.577,33.75,37.92,,0,not_collected,,success,2021,2026-07-25,Count includes verified active rows with assigned parishes. Manual review is complete; all 67 verified rows have coordinates.
110602,Alcântara,5.0697,13850,8735,2,0,2.29,31,40,7,4,1,5,4,0,1,0,82,1722.982,0.395,6.115,7.89,1.381,0.986,0.789,0.197,0.0,16.175,12.08,32.08,,0,not_collected,,success,2021,2026-07-25,Count includes verified active rows with assigned parishes. Manual review is complete; all 67 verified rows have coordinates.
110654,Alvalade,5.3366,33309,20433,7,0,3.426,63,58,5,9,0,9,12,1,4,3,153,3828.842,1.312,11.805,10.868,0.937,1.686,2.249,0.75,0.562,28.67,65.83,60.0,,0,not_collected,,success,2021,2026-07-25,Count includes verified active rows with assigned parishes. Manual review is complete; all 67 verified rows have coordinates.
110655,Areeiro,1.7173,21160,13319,2,0,1.502,45,47,6,2,0,2,1,4,3,1,53,7755.779,1.165,26.204,27.369,3.494,1.165,0.582,1.747,0.582,30.862,73.33,85.42,,0,not_collected,,success,2021,2026-07-25,Count includes verified active rows with assigned parishes. Manual review is complete; all 67 verified rows have coordinates.
110656,Arroios,2.1259,33302,23171,8,0,3.453,55,106,43,6,3,9,2,17,7,4,101,10899.384,3.763,25.871,49.861,20.227,4.234,0.941,3.293,1.882,47.509,95.0,94.17,,0,not_collected,,success,2021,2026-07-25,Count includes verified active rows with assigned parishes. Manual review is complete; all 67 verified rows have coordinates.
110657,Avenidas Novas,2.9916,23261,14756,4,0,2.711,114,84,58,5,3,8,2,35,8,6,98,4932.478,1.337,38.107,28.079,19.388,2.674,0.669,2.674,2.006,32.758,90.83,84.58,,0,not_collected,,success,2021,2026-07-25,Count includes verified active rows with assigned parishes. Manual review is complete; all 67 verified rows have coordinates.
110607,Beato,2.4813,12183,7690,1,0,1.3,13,13,1,0,0,0,0,0,0,1,56,3099.182,0.403,5.239,5.239,0.403,0.0,0.0,0.0,0.403,22.569,40.0,33.33,,0,not_collected,,success,2021,2026-07-25,Count includes verified active rows with assigned parishes. Manual review is complete; all 67 verified rows have coordinates.
110658,Belém,10.4158,16546,9687,1,0,1.032,75,45,5,1,2,3,1,2,2,0,121,930.029,0.096,7.201,4.32,0.48,0.288,0.096,0.192,0.0,11.617,10.42,24.17,,0,not_collected,,success,2021,2026-07-25,Count includes verified active rows with assigned parishes. Manual review is complete; all 67 verified rows have coordinates.
110608,Benfica,8.0168,35362,20786,1,0,0.481,40,27,0,2,1,3,3,0,3,1,146,2592.805,0.125,4.99,3.368,0.0,0.374,0.374,0.374,0.125,18.212,24.17,21.66,,0,not_collected,,success,2021,2026-07-25,Count includes verified active rows with assigned parishes. Manual review is complete; all 67 verified rows have coordinates.
110659,Campo de Ourique,1.6498,22140,13554,3,0,2.213,41,39,4,1,0,1,1,1,1,0,67,8215.541,1.818,24.851,23.639,2.425,0.606,0.606,0.606,0.0,40.611,47.08,83.33,,0,not_collected,,success,2021,2026-07-25,Count includes verified active rows with assigned parishes. Manual review is complete; all 67 verified rows have coordinates.
