coworking_name,operator,address,latitude,longitude,source_url,secondary_source_url,collection_date,matched_rule,review_note
LEAP Areeiro,LEAP,"Avenida Almirante Gago Coutinho 30, 1000-017 Lisboa",38.7455307,-9.1309678,https://leap.pt/localizacoes/leap-areeiro/,https://leap.pt/contactos/,2026-08-13,official_site_and_current_map,"Official location page offers coworking and gives this address; Google Maps listing was active with recent reviews during the 2026-08-13 audit."
Espaço Equilíbrio Terapias,Espaço Equilíbrio Terapias,"Rua Oliveira Martins 29A, 1000-210 Lisboa",38.7441029,-9.1399468,https://espacoequilibriotec.com/,https://www.google.com/maps/search/?api=1&query=38.7441029%2C-9.1399468,2026-08-13,official_site_and_current_map,"Official site and current Google Maps listing explicitly describe coworking for therapists at this address."
Nau Coworking,Nau Coworking,"Rua dos Lagares d'El Rei 19A, 1700-268 Lisboa",38.7479652,-9.1341579,https://coworkingnau.com/,https://www.google.com/maps/search/?api=1&query=38.7479652%2C-9.1341579,2026-08-13,official_site_and_current_map,"Official site lists desks, meeting space, 24/7 access and this physical address."
Work@380,Work@380,"Rua Odette de Saint-Maurice 3C Loja 4, 1700-921 Lisboa",38.7588466,-9.1530671,https://www.workat380.pt/workat380/,https://www.google.com/maps/search/?api=1&query=38.7588466%2C-9.1530671,2026-08-13,official_site_and_current_map,"Official site lists coworking desks, day access and this physical address; current Maps listing corroborates activity."
Workup,Workup,"Rua Tomás da Fonseca 40A, 1600-209 Lisboa",38.7553788,-9.1670743,https://workup.pt/en/,https://www.google.com/maps/search/?api=1&query=38.7553788%2C-9.1670743,2026-08-13,official_site_and_current_map,"Official site presents an active coworking and coliving workspace at this address."
MU Workspace Lisboa,MU Workspace,"Rua Luís Piçarra 4, 1750-100 Lisboa",38.775989,-9.150699,https://www.muworkspace.com/,https://www.google.com/maps/search/?api=1&query=38.775989%2C-9.150699,2026-08-13,official_site_and_current_map,"Official site lists shared desks and this address; current Maps listing corroborates the location."
LACS Anjos,LACS,"Rua Febo Moniz 27B, 1150-152 Lisboa",38.7262921,-9.1359085,https://www.lacs.pt/locations/anjos/,https://www.google.com/maps/search/?api=1&query=38.7262921%2C-9.1359085,2026-08-13,official_site_and_current_map,"Official LACS location page lists coworking at Anjos; current Maps listing corroborates activity and coordinates."
Second Home Lisboa,Second Home,"Mercado da Ribeira, Avenida 24 de Julho, 1200-479 Lisboa",38.7067399,-9.145929,https://secondhome.io/coworking-space-lisbon/,https://www.google.com/maps/search/?api=1&query=38.7067399%2C-9.145929,2026-08-13,official_site_and_current_map,"Official location page offers coworking memberships and day passes at Mercado da Ribeira."
Outsite Cowork Cafe,Outsite,"Rua de São Paulo 109, 1200-275 Lisboa",38.7084414,-9.1472091,https://www.outsite.co/pt/locations/lisbon-cais-do-sodre,https://www.google.com/maps/search/?api=1&query=38.7084414%2C-9.1472091,2026-08-13,official_site_and_current_map,"Official Outsite location page offers a cowork cafe and workspace access at this address."
Casa do Impacto,Casa do Impacto,"Travessa de São Pedro 8, 1200-432 Lisboa",38.7147111,-9.1458097,https://casadoimpacto.scml.pt/,https://www.google.com/maps/search/?api=1&query=38.7147111%2C-9.1458097,2026-08-13,official_site_and_current_map,"Current official SCML site and programme material describe physical coworking rooms at this address."
