coworking_name,operator,address,source_url,source_type,collection_date,discovery_note
Venture X Lisboa,Venture X,"Avenida da Liberdade 224, 1250-148 Lisboa",https://venturex.pt/,official_operator_website,2026-07-24,"Official site describes active coworking and shared workspaces."
The Fyve,The Fyve,"Avenida Marechal Gomes da Costa 27 A/B, 1800-255 Lisboa",https://www.thefyve.pt/,official_operator_website,2026-07-24,"Official site offers hot desks and dedicated desks."
Kübe Coworking,Kübe Coworking,"Rua do Centro Cultural 27A, 1700-106 Lisboa",https://kubecoworking.pt/pages/sobre-nos,official_operator_website,2026-07-24,"Official Portuguese site lists coworking plans and current opening hours."
Business Networking Lounge,Business Networking Lounge,"Rua Mário Gomes Páscoa 8C, 1600-824 Lisboa",https://www.bn-lounge.com/,official_operator_website,2026-07-24,"Official site describes an active coworking space."
The Liz,The Liz,"Rua Maria 36A, 1170-217 Lisboa",https://lisboncoworkingspace.com/anjos-arroios-lisboa/,official_operator_website,2026-07-24,"Official site currently accepts teams of 5-30 rather than individual desks."
Heden Rossio,Heden,"Largo do Duque de Cadaval 17, 1200-160 Lisboa",https://heden.co/about-heden-coworking/,official_operator_website,2026-07-24,"Listed as a current Heden coworking location."
Heden Santa Apolónia,Heden,"Terminal de Cruzeiros de Lisboa, Rua Jardim do Tabaco, 1100-651 Lisboa",https://heden.co/about-heden-coworking/,official_operator_website,2026-07-24,"Listed as a current Heden coworking location."
Heden Chiado,Heden,"Largo Rafael Bordalo Pinheiro 29, 1200-369 Lisboa",https://heden.co/about-heden-coworking/,official_operator_website,2026-07-24,"Listed as a current Heden coworking location."
Heden Alvalade,Heden,"Rua do Centro Cultural 45, 1700-111 Lisboa",https://heden.co/about-heden-coworking/,official_operator_website,2026-07-24,"Listed as a current Heden coworking location."
Heden Intendente,Heden,"Rua Maria 10, 1170-014 Lisboa",https://heden.co/about-heden-coworking/,official_operator_website,2026-07-24,"Listed as a current Heden coworking location."
Heden Trindade,Heden,"Rua Nova da Trindade 3, 1200-301 Lisboa",https://heden.co/about-heden-coworking/,official_operator_website,2026-07-24,"Listed as a current Heden coworking location."
Avila Spaces Avenida da República,Avila Spaces,"Avenida da República 6, 1050-191 Lisboa",https://avilaspaces.com/pt/servicos/coworking-lisboa/,official_operator_website,2026-07-24,"One of three current Lisbon coworking locations."
Avila Spaces Atrium Saldanha,Avila Spaces,"Praça Duque de Saldanha 1, 1050-094 Lisboa",https://avilaspaces.com/pt/servicos/coworking-lisboa/,official_operator_website,2026-07-24,"One of three current Lisbon coworking locations."
Avila Spaces Parque das Nações,Avila Spaces,"Avenida Dom João II 52, 1990-096 Lisboa",https://avilaspaces.com/pt/servicos/coworking-lisboa/,official_operator_website,2026-07-24,"One of three current Lisbon coworking locations."
IDEA Spaces São Sebastião,IDEA Spaces,"Avenida António Augusto de Aguiar 122C, 1050-046 Lisboa",https://www.ideaspaces.pt/saoSebastiao.html,official_operator_website,2026-07-24,"Official location page describes coworking and gives the address."
Spaces Oriente,Spaces,"Avenida Aquilino Ribeiro Machado 8, 1800-399 Lisboa",https://www.spacesworks.com/en/pt/lisboa/portela/coworking,official_operator_website,2026-07-24,"Official operator location listing."
Spaces Mar Vermelho Building,Spaces,"Avenida Dom João II 50, 1990-095 Lisboa",https://www.spacesworks.com/en/pt/lisboa/portela/coworking,official_operator_website,2026-07-24,"Official operator location listing."
Spaces Avenida da República 50,Spaces,"Avenida da República 50, 1050-196 Lisboa",https://www.spacesworks.com/en/pt/lisboa/portela/coworking,official_operator_website,2026-07-24,"Official operator location listing."
Spaces Torres de Lisboa,Spaces,"Rua Tomás da Fonseca, Torre G, 1600-209 Lisboa",https://www.spacesworks.com/en/pt/lisboa/portela/coworking,official_operator_website,2026-07-24,"Official operator location listing."
Spaces Laranjeiras Palace,Spaces,"Estrada das Laranjeiras 191-193, 1600-134 Lisboa",https://www.spacesworks.com/en/pt/lisboa/portela/coworking,official_operator_website,2026-07-24,"Official operator location listing."
Spaces Marquês de Pombal 14,Spaces,"Praça Marquês de Pombal 14, 1250-162 Lisboa",https://www.spacesworks.com/en/pt/lisboa/portela/coworking,official_operator_website,2026-07-24,"Official operator location listing."
Spaces Rua Mouzinho da Silveira,Spaces,"Rua Mouzinho da Silveira 32, 1250-167 Lisboa",https://www.spacesworks.com/en/pt/lisboa/sete-rios/coworking,official_operator_website,2026-07-24,"Official operator location listing."
Spaces Braamcamp 52,Spaces,"Rua Braamcamp 52, 1250-051 Lisboa",https://www.spacesworks.com/en/pt/lisboa/sete-rios/coworking,official_operator_website,2026-07-24,"Official operator location listing."
Spaces Avenida da Liberdade 110,Spaces,"Avenida da Liberdade 110, 1269-046 Lisboa",https://www.spacesworks.com/en/pt/lisboa/sete-rios/coworking,official_operator_website,2026-07-24,"Official operator location listing."
Spaces Chiado,Spaces,"Rua Ivens 42, 1200-227 Lisboa",https://www.spacesworks.com/en/pt/lisboa/sete-rios/coworking,official_operator_website,2026-07-24,"Official operator location listing."
Spaces Alcântara,Spaces,"Rua das Fontaínhas 82-86, 1300-257 Lisboa",https://www.spacesworks.com/en/pt/lisboa/sete-rios/coworking,official_operator_website,2026-07-24,"Official operator location listing."
Spaces Dom João V,Spaces,"Rua Dom João V 30, 1250-091 Lisboa",https://www.spacesworks.com/pt/pt/lisboa/campolide/coworking,official_operator_website,2026-07-24,"Official operator location listing."
