parish,coworking_count,working_age_population_15_64,demand_proxy_score,transit_access_score,competition_opportunity_score,provisional_opportunity_score,provisional_rank,top1_share,top3_share,median_rank,best_rank,worst_rank
Areeiro,2,13319,85.42,73.33,52.17,72.08,1,50.48,93.76,1.0,1,4
Arroios,8,23171,94.17,95.0,13.04,70.55,2,35.48,87.7,2.0,1,15
Avenidas Novas,4,14756,84.58,90.83,21.74,67.94,3,0.0,58.04,3.0,2,12
Lumiar,1,29855,43.33,67.5,95.65,65.83,4,14.04,38.62,4.0,1,10
Santo António,9,7375,89.58,96.67,0.0,65.32,5,0.0,9.48,5.0,2,19
São Domingos de Benfica,3,21023,67.08,65.0,56.52,63.36,6,0.0,1.46,6.0,3,8
São Vicente,1,9213,54.17,72.5,65.22,62.81,7,0.0,10.24,6.0,3,8
Campo de Ourique,3,13554,83.33,47.08,34.78,58.39,8,0.0,0.0,8.0,4,15
Carnide,1,11297,38.75,53.33,82.61,55.94,9,0.0,0.56,9.0,3,14
Campolide,2,9490,63.34,55.0,39.13,53.77,10,0.0,0.0,10.0,8,16
Penha de França,2,18815,60.42,27.08,69.57,53.31,11,0.0,0.0,11.0,4,17
Santa Clara,1,15312,30.84,39.17,86.96,49.8,12,0.0,0.0,12.0,5,17
Alvalade,7,20433,60.0,65.83,17.39,49.18,13,0.0,0.0,13.0,9,20
Olivais,0,19760,14.58,40.0,100.0,47.18,14,0.0,0.14,14.0,2,22
Santa Maria Maior,6,7149,47.92,84.17,4.35,45.77,15,0.0,0.0,15.0,7,23
Marvila,2,22240,30.83,31.67,78.26,45.03,16,0.0,0.0,16.0,10,20
Estrela,2,13063,49.17,35.42,47.83,44.73,17,0.0,0.0,16.0,13,19
Beato,1,7690,33.33,40.0,60.87,43.39,18,0.0,0.0,18.0,12,20
Benfica,1,20786,21.66,24.17,91.3,42.88,19,0.0,0.0,19.0,7,22
Parque das Nações,3,15022,46.67,35.83,43.48,42.54,20,0.0,0.0,19.0,15,21
Misericórdia,3,6472,56.67,54.17,8.7,41.83,21,0.0,0.0,21.0,12,23
Belém,1,9687,24.17,10.42,73.91,34.76,22,0.0,0.0,22.0,13,24
Ajuda,2,8591,37.92,33.75,26.09,33.21,23,0.0,0.0,23.0,20,23
Alcântara,2,8735,32.08,12.08,30.43,25.71,24,0.0,0.0,24.0,23,24
