parish,demand_proxy_score,transit_access_score,competition_opportunity_score,balanced_no_rent_score,balanced_no_rent_rank,demand_led_score,demand_led_rank,accessibility_led_score,accessibility_led_rank,competition_led_score,competition_led_rank
Ajuda,37.92,33.75,26.09,33.21,23,34.13,22,32.88,22,30.58,22
Alcântara,32.08,12.08,30.43,25.71,24,27.67,24,21.67,24,27.17,24
Alvalade,60.0,65.83,17.39,49.18,13,50.51,12,52.26,12,37.73,20
Areeiro,85.42,73.33,52.17,72.08,1,74.69,1,71.06,3,64.71,4
Arroios,94.17,95.0,13.04,70.55,2,74.05,2,74.3,1,49.71,13
Avenidas Novas,84.58,90.83,21.74,67.94,3,70.12,3,72.0,2,51.27,11
Beato,33.33,40.0,60.87,43.39,18,41.55,19,43.55,16,49.81,12
Belém,24.17,10.42,73.91,34.76,22,33.86,23,29.73,23,48.78,15
Benfica,21.66,24.17,91.3,42.88,19,39.57,21,40.33,21,60.46,8
Campo de Ourique,83.33,47.08,34.78,58.39,8,63.94,6,53.07,11,49.38,14
Campolide,63.34,55.0,39.13,53.77,10,55.62,10,53.12,10,48.36,16
Carnide,38.75,53.33,82.61,55.94,9,52.63,11,57.0,8,65.79,3
Estrela,49.17,35.42,47.83,44.73,17,46.09,14,41.96,19,45.68,17
Lumiar,43.33,67.5,95.65,65.83,4,61.24,7,68.5,5,76.94,1
Marvila,30.83,31.67,78.26,45.03,16,42.86,18,43.11,18,57.08,10
Misericórdia,56.67,54.17,8.7,41.83,21,44.18,16,43.43,17,29.79,23
Olivais,14.58,40.0,100.0,47.18,14,41.02,20,48.64,14,66.65,2
Parque das Nações,46.67,35.83,43.48,42.54,20,43.7,17,40.45,20,42.75,18
Penha de França,60.42,27.08,69.57,53.31,11,56.04,9,46.04,15,58.78,9
Santa Clara,30.84,39.17,86.96,49.8,12,46.54,13,49.04,13,63.37,6
Santa Maria Maior,47.92,84.17,4.35,45.77,15,44.28,15,55.15,9,31.21,21
Santo António,89.58,96.67,0.0,65.32,5,68.6,4,70.73,4,41.73,19
São Domingos de Benfica,67.08,65.0,56.52,63.36,6,64.02,5,63.4,7,60.86,7
São Vicente,54.17,72.5,65.22,62.81,7,60.6,8,66.1,6,63.91,5
