parish,top1_share,top3_share,median_rank,best_rank,worst_rank
Areeiro,99.28,100.0,1.0,1,3
Campolide,0.0,73.62,2.0,2,7
Arroios,0.72,55.88,3.0,1,16
Misericórdia,0.0,36.1,4.0,3,12
Santo António,0.0,25.44,7.0,2,21
Lumiar,0.0,8.26,5.0,2,12
Avenidas Novas,0.0,0.7,6.0,3,17
Ajuda,0.0,0.0,14.0,7,17
Alcântara,0.0,0.0,24.0,23,24
Alvalade,0.0,0.0,13.0,9,17
Beato,0.0,0.0,14.0,6,18
Belém,0.0,0.0,23.0,20,24
Benfica,0.0,0.0,22.0,14,22
Campo de Ourique,0.0,0.0,13.0,5,19
Carnide,0.0,0.0,10.0,5,14
Estrela,0.0,0.0,19.0,15,21
Marvila,0.0,0.0,20.0,13,21
Olivais,0.0,0.0,17.0,10,21
Parque das Nações,0.0,0.0,21.0,17,23
Penha de França,0.0,0.0,8.0,4,16
Santa Clara,0.0,0.0,16.0,8,19
Santa Maria Maior,0.0,0.0,18.0,8,23
São Domingos de Benfica,0.0,0.0,9.0,5,14
São Vicente,0.0,0.0,11.0,5,15
