parish,demand_proxy_score,transit_access_score,competition_opportunity_score,median_rent_eur_m2_month,rent_sample_size,rent_opportunity_score,pilot_opportunity_score,pilot_rank
Areeiro,85.42,73.33,100.0,17.73,10,44.44,79.9,1
Lumiar,43.33,67.5,100.0,15.71,17,88.89,70.37,2
Arroios,94.17,95.0,10.81,17.5,15,61.11,68.58,3
Penha de França,60.42,27.08,100.0,13.91,15,100.0,67.92,4
Campolide,63.34,55.0,100.0,20.01,10,33.33,65.92,5
São Domingos de Benfica,67.08,65.0,48.65,16.99,14,77.78,63.56,6
Carnide,38.75,53.33,100.0,17.5,11,61.11,61.06,7
Misericórdia,56.67,54.17,100.0,22.0,17,11.11,60.04,8
Avenidas Novas,84.58,90.83,16.22,20.38,22,22.22,59.7,9
Santo António,89.58,96.67,0.0,25.6,13,0.0,55.52,10
